brand_id,product_id,varientName,exShowroomPrice,VarientRanking,varientGroupData,FeatureExplained,active,seater,fuel,transmission,GNCAP,EngineName,Highlight,summary,automatic,iMT,manual,images,imageText,Ventilated_Seats,Air_Purifier,Cruise_Control,Rain_Sensing_Wipers,sunroof,automaticHeadLamp,Follow_Me_Home_Headlights,keyLess_Entry,ignition,Ambient_Lighting,Steering_Adjustment,Air_Conditioning,Climate_Zones,rearACvent,frontArmrest,rearArmrest,IVRM,OVRM,Steering_Mounted_Controls,Rear_Windshield_Defogger,Front_Windshield_Defogger,Cooled_Glovebox,Global_NCAP_Rating,airbags,airbagLocation,ADAS,ADAS_Features,Reverse_Camera,Reverse_Camera_Guidelines,TMPS,Hill_Hold_Assist,Hill_Descent_Control,Roll_Over_Mitigation,Disc_Brakes,ESP,ABS,EBD,Brake_assist,ISOFIX_Mounts,Driver_CoDriver_Seatbelt_Warning,High_speed_Alert_System,Speed_Sensing_Door_Locks,Immobiliser,Parking_Sensor,Touch_Screen_Infotainment,Android_Apple_Carplay,Speakers,tweeters,subWoofers,USB_C_PORT,FiveAmpiearchargingport,charging12V_Port,wireless_Charging,connectedCarTech,engine_Name,Engine_Capacity,fuel,transmission,number_of_Gears,paddle_shifter,max_power,torque,speed_0_to_100,top_speed,EV_Battry_capacity,Hybrid_Capacity,Battery_type,Electric_Motor_placement,EV_Range,EV_Charging_time,Max_Electric_Motor_Power,Turbo_Charged,Hybrid_Type,driveTrain,Driving_Modes,offRoadModes,Differential_Lock_Type,Limited_Slip_Differential,Seat_Upholstery,Seats_Adjustment,Driver_Seat_Adjustment,Passenger_Seat_Adjustment,Rear_Seat_Adjustment,Welcome_Seats,Memory_Seats,headLight,tailLight,radioAntina,OVRMColor,DRL,sideIndicator,rear_windsheeld_wiper,Ground_Clearance,Length,Weidth,Height,wheelBase,turningRadious,Kerb_Weight,Front_Tyre_Profile,Rear_Tyre_Profile,Spare_Tyre_Profile,Front_Suspension,Rear_Suspension,Cupholders,Fuel_Tank_Capacity,boot_Space,Boot_Space_after,Engine_Name_Varient,Company_Claimed,City_Real_World,Highway_Real_World,,
662526a41dc6cd46bdca6ab6,662526a41dc6cd46bdca6ab6,STD,399000,BASE,,"<ul><li><span style=""color: rgb(0, 0, 0);"">Dual Airbags</span></li><li><span style=""color: rgb(0, 0, 0);""> ABS With EBD</span></li><li><span style=""color: rgb(0, 0, 0);""> Reverse Parking Sensors</span></li><li><span style=""color: rgb(0, 0, 0);""> Headlamp Leveling</span></li><li><span style=""color: rgb(0, 0, 0);""> Collapsible Steering Wheel</span></li><li><span style=""color: rgb(0, 0, 0);""> Digital Speedo Meter</span></li><li><span style=""color: rgb(0, 0, 0);""> Cabin Air Filter</span></li></ul>",true,5,Petrol,Manual,NA,1 Litre Petrol,An allrounder,"<ul><li><span style=""color: rgb(0, 0, 0);"">Great motor with good performance and fun to drive.</span></li></ul>",,,66 Bhp\r\n89 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,NA,KEY START,NA,TILT,,NA,NA,NA,NA,,Manually Adjustable,NA,NA,NA,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,FRONT,NA,YES,YES,NA,YES,YES,YES,YES,YES,REAR,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,K10C,998,PETROL,MANUAL,5,NA,66,89,13.3,140,,,NA,NA,,NA,,NON-TURBO CHARGED,NA,FRONT WHEEL DRIVE,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,NA,NA,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,YES,27,214,,1 Litre Petrol,24.39,17.39,21.39,,
662526a41dc6cd46bdca6ab6,662526a41dc6cd46bdca6ab6,LXI,483500,BASE,,"<ul><li><span style=""color: rgb(0, 0, 0);"">Dual Airbags</span></li><li><span style=""color: rgb(0, 0, 0);""> ABS With EBD</span></li><li><span style=""color: rgb(0, 0, 0);""> Reverse Parking Sensors</span></li><li><span style=""color: rgb(0, 0, 0);""> Headlamp Leveling</span></li><li><span style=""color: rgb(0, 0, 0);""> Collapsible Steering Wheel</span></li><li><span style=""color: rgb(0, 0, 0);""> Digital Speedo Meter</span></li><li><span style=""color: rgb(0, 0, 0);""> Cabin Air Filter</span></li></ul>",true,5,Petrol,Manual,NA,1 Litre Petrol,Best for those seeking mileage,"<ul><li><span style=""color: rgb(0, 0, 0);"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</span></li></ul>",,,66 Bhp\r\n89 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,NA,KEY START,NA,TILT,MANUAL,NA,NA,NA,NA,,Manually Adjustable,NA,NA,YES,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,FRONT,NA,YES,YES,NA,YES,YES,YES,YES,YES,REAR,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,K10C,998,PETROL,MANUAL,5,NA,66,89,13.3,140,,,NA,NA,,NA,,NON-TURBO CHARGED,NA,FRONT WHEEL DRIVE,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,NA,NA,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,YES,27,214,,1 Litre Petrol,24.39,17.39,21.39,,
662526a41dc6cd46bdca6ab6,662526a41dc6cd46bdca6ab6,VXI,506000,MID,,"<ul><li><span style=""color: rgb(0, 0, 0);"">Media Receiver (AM/FM/Bluetooth)</span></li><li><span style=""color: rgb(0, 0, 0);""> Front Power Windows</span></li></ul>",true,5,Petrol,Manual,NA,1 Litre Petrol,Best for enthusiasts,"<ul><li><span style=""color: rgb(0, 0, 0);"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</span></li></ul>",,,66 Bhp\r\n89 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,NA,KEY START,NA,TILT,MANUAL,NA,NA,NA,NA,,Manually Adjustable,NA,NA,YES,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,FRONT,NA,YES,YES,NA,YES,YES,YES,YES,YES,REAR,NA,NA,2,NA,NA,NA,NA,1,NA,NA,K10C,998,PETROL,MANUAL,5,NA,66,89,13.3,140,,,NA,NA,,NA,,NON-TURBO CHARGED,NA,FRONT WHEEL DRIVE,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,NA,NA,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,YES,27,214,,1 Litre Petrol,24.39,17.39,21.39,,
662526a41dc6cd46bdca6ab6,662526a41dc6cd46bdca6ab6,VXI AMT,561000,MID,,"<ul><li><span style=""color: rgb(0, 0, 0);"">Media Receiver (AM/FM/Bluetooth)</span></li><li><span style=""color: rgb(0, 0, 0);""> Front Power Windows</span></li><li><span style=""color: rgb(0, 0, 0);"">  Gear Position Indicator</span></li><li><span style=""color: rgb(0, 0, 0);""> Internally Adjustable ORVMs</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Colored Bumper</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Colored Door Handles</span></li></ul>",true,5,Petrol,AMT,NA,1 Litre Petrol,An allrounder,"<ul><li><span style=""color: rgb(0, 0, 0);"">Great motor with good performance and fun to drive.</span></li></ul>",66 Bhp\r\n89 Nm\r\n5-Speed,,,,,NA,NA,NA,NA,NA,NA,NA,NA,KEY START,NA,TILT,MANUAL,NA,NA,NA,NA,,Manually Adjustable,NA,NA,YES,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,FRONT,NA,YES,YES,NA,YES,YES,YES,YES,YES,REAR,NA,NA,2,NA,NA,NA,NA,1,NA,NA,K10C,998,PETROL,AMT,5,NA,66,89,13.3,140,,,NA,NA,,NA,,NON-TURBO CHARGED,NA,FRONT WHEEL DRIVE,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,REGULAR,Body Coloured,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,YES,27,214,,1 Litre Petrol,24.9,17.9,21.9,,
662526a41dc6cd46bdca6ab6,662526a41dc6cd46bdca6ab6,VXI S-CNG,596000,MID,,"<ul><li><span style=""color: rgb(0, 0, 0);"">Media Receiver (AM/FM/Bluetooth)</span></li><li><span style=""color: rgb(0, 0, 0);""> Front Power Windows</span></li><li><span style=""color: rgb(0, 0, 0);"">  Gear Position Indicator</span></li><li><span style=""color: rgb(0, 0, 0);""> Internally Adjustable ORVMs</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Colored Bumper</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Colored Door Handles</span></li></ul>",true,5,CNG,Manual,NA,1 Litre CNG,Best for those seeking mileage,"<ul><li><span style=""color: rgb(0, 0, 0);"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</span></li></ul>",,,56 Bhp\r\n82 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,NA,KEY START,NA,TILT,MANUAL,NA,NA,NA,NA,,Manually Adjustable,NA,NA,YES,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,FRONT,NA,YES,YES,NA,YES,YES,YES,YES,YES,REAR,NA,NA,2,NA,NA,NA,NA,1,NA,NA,K10C CNG,998,CNG,MANUAL,5,NA,56,82,13.3,140,,,NA,NA,,NA,,NON-TURBO CHARGED,NA,FRONT WHEEL DRIVE,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,REGULAR,Body Coloured,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,YES,10,214,,1 Litre CNG,33.85,26.85,30.85,,
662526a41dc6cd46bdca6ab6,662526a41dc6cd46bdca6ab6,VXI Plus,535000,TOP,,"<ul><li><span style=""color: rgb(0, 0, 0);"">7'' Touch Screen Infotainment</span></li><li><span style=""color: rgb(0, 0, 0);""> 4-Speaker Smart Play Dock</span></li></ul>",true,5,Petrol,Manual,NA,1 Litre Petrol,Best for enthusiasts,"<ul><li><span style=""color: rgb(0, 0, 0);"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</span></li></ul>",,,66 Bhp\r\n89 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,YES,KEY START,NA,TILT,MANUAL,NA,NA,NA,NA,,Manually Adjustable,YES,NA,YES,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,FRONT,NA,YES,YES,NA,YES,YES,YES,YES,YES,REAR,7,WIRED,4,NA,NA,NA,NA,1,NA,NA,K10C,998,PETROL,MANUAL,5,NA,66,89,13.3,140,,,NA,NA,,NA,,NON-TURBO CHARGED,NA,FRONT WHEEL DRIVE,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,REGULAR,Body Coloured,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,YES,27,214,,1 Litre Petrol,24.39,17.39,21.39,,
662526a41dc6cd46bdca6ab6,662526a41dc6cd46bdca6ab6,VXI PLUS AMT ,590000,TOP,,"<ul><li><span style=""color: rgb(0, 0, 0);"">7'' Touch Screen Infotainment</span></li><li><span style=""color: rgb(0, 0, 0);""> 4-Speaker Smart Play Dock</span></li></ul>",true,5,Petrol,AMT,NA,1 Litre Petrol,An allrounder,"<ul><li><span style=""color: rgb(0, 0, 0);"">Great motor with good performance and fun to drive.</span></li></ul>",66 Bhp\r\n89 Nm\r\n5-Speed,,,,,NA,NA,NA,NA,NA,NA,NA,YES,KEY START,NA,TILT,MANUAL,NA,NA,NA,NA,,Manually Adjustable,YES,NA,YES,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,FRONT,NA,YES,YES,NA,YES,YES,YES,YES,YES,REAR,7,WIRED,4,NA,NA,NA,NA,1,NA,NA,K10C,998,PETROL,AMT,5,NA,66,89,13.3,140,,,NA,NA,,NA,,NON-TURBO CHARGED,NA,FRONT WHEEL DRIVE,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen Projector,Halogen Bulb,REGULAR,Body Coloured,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,YES,27,214,,1 Litre Petrol,24.9,17.9,21.9,,
662526a41dc6cd46bdca6ab6,662528ac1dc6cd46bdca6c64,Sigma,661000,BASE,,"<ul><li><span style=""color: rgb(0, 0, 0);"">NEXA Signature LED Tail Lamps</span></li><li><span style=""color: rgb(0, 0, 0);""> Back Door Spoiler</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Coloured Bumpers</span></li><li><span style=""color: rgb(0, 0, 0);""> Driver Side Power Window Auto Up/Down With Pinch Guard</span></li><li><span style=""color: rgb(0, 0, 0);""> Central Locking & Keyless Entry</span></li><li><span style=""color: rgb(0, 0, 0);""> Rear Defogger</span></li><li><span style=""color: rgb(0, 0, 0);""> ABS With EBD Brake Assist</span></li><li><span style=""color: rgb(0, 0, 0);""> Reverse Parking Sensors </span></li></ul>",true,5,Petrol,Manual,NA,1.2 Litre Petrol,An allrounder,"<ul><li><span style=""color: rgb(0, 0, 0);"">Great motor with good performance and fun to drive.</span></li></ul>",,,88 Bhp\r\n113 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,YES,KEY START,NA,TILT,AUTOMATIC,Single Zone,NA,NA,NA,MANUAL,Manually Adjustable,NA,NA,YES,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,YES,NA,NA,FRONT,YES,YES,YES,YES,YES,YES,YES,YES,YES,REAR,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.2L VVT,1197,PETROL,MANUAL,5,NA,88,113,12.1,180,,,NA,NA,,NA,,NON-TURBO CHARGED,NA,FRONT WHEEL DRIVE,NA,NA,NA,NA,Fabrics,Manually Adjustable,6-Way,6-Way,NA,NA,NA,Halogen Projector,LED,REGULAR,NA,NA,On Fender,NA,170,3990,1745,1500,2520,4.85,955,185/65 R15,185/65 R15,185/65 R15,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,YES,37,318,,1.2 Litre Petrol,22.3,15.3,19.3,,
